Date,Balance,Price,plotting_date,% Change in Balance,Balance Diff,Value $ ,Value £ ,Change in Value
2021-03-07 09:23:54,24.0,0,2021-03-07,,,0.0,0.0,
2021-03-07 09:28:09,24.0,0,2021-03-07,,0.0,0.0,0.0,0.0
2021-03-07 09:30:18,24.0,0,2021-03-07,,0.0,0.0,0.0,0.0
2021-03-07 09:38:37,24.0,0,2021-03-07,,0.0,0.0,0.0,0.0
2021-03-07 09:41:09,24.0,0,2021-03-07,,0.0,0.0,0.0,0.0
2021-03-07 09:42:25,24.0,0,2021-03-07,,0.0,0.0,0.0,0.0
2021-03-07 09:44:12,24.0,0,2021-03-07,,0.0,0.0,0.0,0.0
2021-03-07 09:44:56,24.0,0,2021-03-07,,0.0,0.0,0.0,0.0
2021-03-07 09:51:13,24.0,0,2021-03-07,,0.0,0.0,0.0,0.0
2021-03-07 09:54:01,24.0,0,2021-03-07,,0.0,0.0,0.0,0.0
2021-03-07 09:55:25,24.0,0,2021-03-07,,0.0,0.0,0.0,0.0
2021-03-07 09:56:34,24.0,0,2021-03-07,,0.0,0.0,0.0,0.0
2021-03-07 10:07:34,24.0,0,2021-03-07,0.0,0.0,0.0,0.0,0.0
2021-03-07 10:09:43,24.0,0,2021-03-07,0.0,0.0,0.0,0.0,0.0
2021-03-07 10:23:16,24.0,0,2021-03-07,0.0,0.0,0.0,0.0,0.0
2021-03-07 10:24:05,24.0,0,2021-03-07,0.0,0.0,0.0,0.0,0.0
2021-03-07 10:25:33,24.0,0,2021-03-07,0.0,0.0,0.0,0.0,0.0
2021-03-07 10:27:00,24.0,0,2021-03-07,0.0,0.0,0.0,0.0,0.0
2021-03-07 11:09:43,24.0,0,2021-03-07,0.0,0.0,0.0,0.0,0.0
2021-03-07 11:25:34,24.0,0,2021-03-07,0.0,0.0,0.0,0.0,0.0
2021-03-07 11:27:49,24.0,0,2021-03-07,0.0,0.0,0.0,0.0,0.0
2021-03-07 11:28:13,24.0,0,2021-03-07,0.0,0.0,0.0,0.0,0.0
2021-03-07 11:32:35,24.0,0,2021-03-07,0.0,0.0,0.0,0.0,0.0
2021-03-07 11:34:20,24.0,0,2021-03-07,0.0,0.0,0.0,0.0,0.0
2021-03-07 11:47:32,24.0,0,2021-03-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 12:00:12,24.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 12:02:29,24.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 12:04:05,24.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 12:05:19,24.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 12:06:26,24.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 12:07:29,24.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 12:08:09,24.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 12:30:02,24.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 12:33:59,24.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 12:38:59,24.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 12:41:52,24.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 12:42:48,24.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 12:43:33,24.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 01:18:19,24.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 01:26:27,24.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 01:51:56,24.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 01:59:07,24.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 09:25:26,0.0,0,2021-04-07,-100.0,-24.0,0.0,0.0,-0.0
2021-04-07 09:30:29,0.0,0,2021-04-07,-100.0,0.0,0.0,0.0,0.0
2021-04-07 09:54:58,0.0,0,2021-04-07,-100.0,0.0,0.0,0.0,0.0
2021-04-07 10:24:58,0.0,0,2021-04-07,-100.0,0.0,0.0,0.0,0.0
2021-04-07 10:55:04,0.0,0,2021-04-07,-100.0,0.0,0.0,0.0,0.0
2021-04-07 11:40:42,24.0,0,2021-04-07,0.0,24.0,0.0,0.0,0.0
2021-04-07 12:02:49,24.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 12:03:42,24.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 12:25:05,24.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 12:54:58,24.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 01:24:58,24.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 01:29:49,24.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 01:31:45,24.0,0,2021-04-07,inf,0.0,0.0,0.0,0.0
2021-04-07 02:06:35,24.0,0,2021-04-07,inf,0.0,0.0,0.0,0.0
2021-04-07 02:15:22,24.0,0,2021-04-07,inf,0.0,0.0,0.0,0.0
2021-04-07 02:45:23,24.0,0,2021-04-07,inf,0.0,0.0,0.0,0.0
2021-04-07 03:15:21,24.0,0,2021-04-07,inf,0.0,0.0,0.0,0.0
2021-04-07 04:06:55,24.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 04:07:21,24.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 04:15:29,24.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 04:16:51,24.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 04:27:16,24.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 04:53:31,24.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 05:48:39,24.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 05:51:37,24.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 06:09:25,24.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 06:10:31,24.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 06:26:22,24.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 06:28:09,24.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 06:34:49,24.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 06:45:21,24.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 07:05:52,24.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 07:07:27,24.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 07:11:29,24.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
