Date,Balance,Price,% Change_in_Balance,Balance_Diff,Value_Dollars,Value_Pounds,Change_in_Value
04/07,0.17572000000000002,297.23,,,52.273185600000005,37.80606043889977,
04/07,0.17572000000000002,297.33,,0.0,52.273185600000005,37.80606043889977,0.0
04/07,0.17572000000000002,296.19,,0.0,52.273185600000005,37.80606043889977,0.0
04/07,0.17572000000000002,296.27,,0.0,52.273185600000005,37.80606043889977,0.0
04/07,0.17572000000000002,296.15,,0.0,52.273185600000005,37.80606043889977,0.0
04/07,0.17572000000000002,296.13,,0.0,52.273185600000005,37.80606043889977,0.0
04/07,0.17572000000000002,296.31,,0.0,52.273185600000005,37.80606043889977,0.0
04/07,0.17572000000000002,296.47,,0.0,52.273185600000005,37.80606043889977,0.0
04/07,0.17625,296.24,,0.0005299999999999749,52.43085,37.920089644639674,0.15700719999999257
04/07,0.17625,296.2,,0.0,52.43085,37.920089644639674,0.0
04/07,0.17625,297.04,,0.0,52.43085,37.920089644639674,0.0
04/07,0.17625,296.75,,0.0,52.43085,37.920089644639674,0.0
04/07,0.17678,297.48,0.6032324152059898,0.0005300000000000027,52.5885144,38.034118850379585,0.15766440000000082
