Date,Balance,Price,plotting_date,% Change in Balance,Balance Diff,Value $ ,Value £ ,Change in Value
2021-03-07 11:47:32,5500.0,0,2021-03-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 12:00:12,5500.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 12:02:29,5500.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 12:04:05,5500.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 12:05:19,5500.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 12:06:26,5500.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 12:07:29,5500.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 12:08:09,5500.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 12:30:02,5500.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 12:33:59,5500.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 12:38:59,5500.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 12:41:52,5500.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 12:42:48,5500.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 12:43:33,5500.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 01:18:19,5500.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 01:26:27,5500.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 01:51:56,5500.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 01:59:07,5500.0,0,2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-07 09:25:26,0.0,0,2021-04-07,-100.0,-5500.0,0.0,0.0,-0.0
2021-04-07 09:30:29,0.0,0,2021-04-07,-100.0,0.0,0.0,0.0,0.0
