Date,Balance,Price,plotting_date,% Change in Balance,Balance Diff,Value $ ,Value £ ,Change in Value
2021-04-07 10:54:56,3.61807,0,2021-04-07,5.974962508201331,0.011260000000000048,0.0,0.0,0.0
2021-04-07 11:24:52,3.6217900000000003,0,2021-04-07,6.001955091432731,0.0037200000000003897,0.0,0.0,0.0
2021-04-07 11:40:34,3.62675,0,2021-04-07,6.1471235570956795,0.004959999999999631,0.0,0.0,0.0
2021-04-07 12:02:39,3.6330199999999997,0,2021-04-07,6.330632887681742,0.006269999999999776,0.0,0.0,0.0
2021-04-07 12:03:36,3.63302,0,2021-04-07,6.081939306164275,4.440892098500626e-16,0.0,0.0,0.0
2021-04-07 12:24:56,3.63925,0,2021-04-07,6.263851456903158,0.006229999999999958,0.0,0.0,0.0
2021-04-07 12:54:52,3.66017,0,2021-04-07,6.365969120429149,0.020919999999999828,0.0,0.0,0.0
2021-04-07 01:24:52,3.66385,0,2021-04-07,6.430538449025125,0.0036800000000001276,0.0,0.0,0.0
2021-04-07 01:29:42,3.66385,0,2021-04-07,1.9083566048441858,0.0,0.0,0.0,0.0
2021-04-07 01:31:37,3.66385,0,2021-04-07,1.9083566048441858,0.0,0.0,0.0,0.0
2021-04-07 02:06:28,3.67743,0,2021-04-07,2.1043191435012876,0.013580000000000148,0.0,0.0,0.0
2021-04-07 02:15:15,3.67867,0,2021-04-07,1.9923422636623611,0.0012399999999996858,0.0,0.0,0.0
2021-04-07 02:45:16,3.68719,0,2021-04-07,1.9104107991277264,0.008520000000000305,0.0,0.0,0.0
2021-04-07 03:15:14,3.69791,0,2021-04-07,2.1017231810789516,0.010719999999999619,0.0,0.0,0.0
2021-04-07 04:06:48,3.712180000000002,0,2021-04-07,2.3555524919005144,0.014270000000002003,0.0,0.0,0.0
2021-04-07 04:07:12,3.7133800000000003,0,2021-04-07,2.2119338731964255,0.0011999999999985356,0.0,0.0,0.0
2021-04-07 04:15:15,3.71934,0,2021-04-07,2.375984717948154,0.005959999999999521,0.0,0.0,0.0
2021-04-07 04:16:38,3.7193400000000003,0,2021-04-07,2.2007281720134664,4.440892098500626e-16,0.0,0.0,0.0
2021-04-07 04:27:08,3.72052,0,2021-04-07,1.6488305188010477,0.0011799999999997368,0.0,0.0,0.0
2021-04-07 04:53:24,3.7277199999999997,0,2021-04-07,1.7432482224981838,0.007199999999999651,0.0,0.0,0.0
2021-04-07 05:48:32,3.74196,0,2021-04-07,2.131910422096972,0.014240000000000475,0.0,0.0,0.0
2021-04-07 05:51:29,3.7419599999999997,0,2021-04-07,2.131910422096972,-4.440892098500626e-16,0.0,0.0,-0.0
2021-04-07 06:09:18,3.74548,0,2021-04-07,1.8504770994961062,0.0035200000000004117,0.0,0.0,0.0
2021-04-07 06:10:24,3.74548,0,2021-04-07,1.8161455091106449,0.0,0.0,0.0,0.0
2021-04-07 06:15:15,3.75134,0,2021-04-07,1.7398072787135899,0.005859999999999754,0.0,0.0,0.0
2021-04-07 06:26:16,3.75487,0,2021-04-07,1.5403295374954995,0.003530000000000033,0.0,0.0,0.0
2021-04-07 06:28:02,3.75487,0,2021-04-07,1.1499981143155313,0.0,0.0,0.0,0.0
2021-04-07 06:34:43,3.7572300000000003,0,2021-04-07,1.180864872434273,0.002360000000000362,0.0,0.0,0.0
2021-04-07 06:45:14,3.75841,0,2021-04-07,1.0504551882861035,0.0011799999999997368,0.0,0.0,0.0
2021-04-07 07:05:46,3.7619599999999997,0,2021-04-07,1.145902229965512,0.00354999999999972,0.0,0.0,0.0
2021-04-07 07:07:20,3.76434,0,2021-04-07,1.1777923516067546,0.0023800000000000487,0.0,0.0,0.0
2021-04-07 07:11:22,3.7643400000000002,0,2021-04-07,0.9823699204876135,4.440892098500626e-16,0.0,0.0,0.0
