Date,Balance,Price,% Change_in_Balance,Balance_Diff,Value_Dollars,Change_in_Value
13/07,6.0,0.0,,,1.2000000000000002,
13/07,6.0,0.0,,0.0,1.2000000000000002,0.0
13/07,6.0,0.0,,0.0,1.2000000000000002,0.0
13/07,6.0,0.0,,0.0,1.2000000000000002,0.0
13/07,6.0,0.0,,0.0,1.2000000000000002,0.0
13/07,6.038461538461537,0.0,,0.03846153846153744,1.2076923076923076,0.0
13/07,6.0769230769230775,0.0,,0.0384615384615401,1.2153846153846155,0.0
13/07,6.115384615384616,0.0,,0.038461538461538325,1.2230769230769232,0.0
13/07,6.153846153846152,0.0,,0.03846153846153655,1.2307692307692306,0.0
13/07,6.1923076923076925,0.0,,0.0384615384615401,1.2384615384615385,0.0
13/07,6.230769230769233,0.0,,0.0384615384615401,1.2461538461538466,0.0
13/07,6.269230769230767,0.0,,0.03846153846153477,1.2538461538461536,0.0
13/07,6.307692307692308,0.0,5.128205128205132,0.03846153846154099,1.2615384615384617,0.0
13/07,6.3461538461538485,0.0,5.769230769230815,0.0384615384615401,1.2692307692307698,0.0
13/07,6.384615384615384,0.0,6.41025641025641,0.03846153846153566,1.2769230769230768,0.0
13/07,6.4230769230769225,0.0,7.051282051282048,0.038461538461538325,1.2846153846153845,0.0
13/07,6.461538461538463,0.0,7.692307692307709,0.0384615384615401,1.2923076923076926,0.0
13/07,6.5,0.0,7.6433121019108485,0.03846153846153744,1.3,0.0
13/07,6.538461538461537,0.0,7.594936708860733,0.03846153846153744,1.3076923076923075,0.0
13/07,6.5769230769230775,0.0,7.547169811320753,0.0384615384615401,1.3153846153846156,0.0
13/07,6.615384615384616,0.0,7.50000000000004,0.038461538461538325,1.3230769230769233,0.0
14/07,6.653846153846152,0.0,7.453416149068293,0.03846153846153655,1.3307692307692305,0.0
14/07,6.6923076923076925,0.0,7.407407407407374,0.0384615384615401,1.3384615384615386,0.0
14/07,6.730769230769233,0.0,7.361963190184118,0.0384615384615401,1.3461538461538467,0.0
14/07,6.769230769230767,0.0,7.317073170731669,0.03846153846153477,1.3538461538461535,0.0
14/07,6.807692307692308,0.0,7.272727272727253,0.03846153846154099,1.3615384615384618,0.0
14/07,6.8461538461538485,0.0,7.228915662650648,0.0384615384615401,1.3692307692307697,0.0
14/07,6.884615384615384,0.0,7.185628742514982,0.03846153846153566,1.376923076923077,0.0
14/07,6.9230769230769225,0.0,7.1428571428571175,0.038461538461538325,1.3846153846153846,0.0
14/07,6.961538461538463,0.0,7.100591715976345,0.0384615384615401,1.3923076923076927,0.0
14/07,7.0,0.0,7.058823529411784,0.03846153846153744,1.4000000000000001,0.0
14/07,7.038461538461537,0.0,7.0175438596491,0.03846153846153744,1.4076923076923076,0.0
14/07,7.0769230769230775,0.0,6.976744186046524,0.0384615384615401,1.4153846153846157,0.0
14/07,7.115384615384616,0.0,6.936416184971139,0.038461538461538325,1.4230769230769234,0.0
14/07,7.153846153846152,0.0,6.8965517241379,0.03846153846153655,1.4307692307692306,0.0
14/07,7.1923076923076925,0.0,6.857142857142828,0.0384615384615401,1.4384615384615387,0.0
14/07,7.230769230769233,0.0,6.818181818181879,0.0384615384615401,1.4461538461538466,0.0
14/07,7.269230769230767,0.0,6.779661016949112,0.03846153846153477,1.4538461538461536,0.0
14/07,7.3076923076923075,0.0,6.741573033707815,0.0384615384615401,1.4615384615384617,0.0
14/07,7.3461538461538485,0.0,6.703910614525177,0.03846153846154099,1.4692307692307698,0.0
14/07,7.384615384615384,0.0,6.666666666666665,0.03846153846153566,1.476923076923077,0.0
14/07,7.4230769230769225,0.0,6.6298342541436295,0.038461538461538325,1.4846153846153847,0.0
14/07,7.461538461538463,0.0,6.593406593406614,0.0384615384615401,1.4923076923076926,0.0
14/07,7.5,0.0,6.557377049180335,0.03846153846153744,1.5,0.0
14/07,7.538461538461537,0.0,6.521739130434767,0.03846153846153744,1.5076923076923077,0.0
14/07,7.5769230769230775,0.0,6.486486486486487,0.0384615384615401,1.5153846153846156,0.0
14/07,7.615384615384616,0.0,6.451612903225845,0.038461538461538325,1.5230769230769232,0.0
14/07,7.653846153846151,0.0,6.4171122994652,0.03846153846153477,1.5307692307692302,0.0
14/07,7.6923076923076925,0.0,6.382978723404231,0.03846153846154188,1.5384615384615385,0.0
14/07,7.730769230769233,0.0,6.349206349206393,0.0384615384615401,1.5461538461538467,0.0
14/07,7.769230769230767,0.0,6.315789473684186,0.03846153846153477,1.5538461538461537,0.0
14/07,7.8076923076923075,0.0,6.2827225130889675,0.0384615384615401,1.5615384615384615,0.0
14/07,7.8461538461538485,0.0,6.250000000000044,0.03846153846154099,1.5692307692307699,0.0
14/07,7.884615384615384,0.0,6.217616580310881,0.03846153846153566,1.5769230769230769,0.0
14/07,7.9230769230769225,0.0,6.185567010309256,0.038461538461538325,1.5846153846153845,0.0
14/07,7.961538461538463,0.0,6.153846153846176,0.0384615384615401,1.5923076923076926,0.0
14/07,8.0,0.25,6.1224489795918435,0.03846153846153744,1.6,0.00961538461538436
14/07,8.666666666666666,0.3333333333333333,14.382402707275777,0.6666666666666661,1.7333333333333334,0.22222222222222202
14/07,9.333333333333334,0.4166666666666666,22.558922558922557,0.6666666666666679,1.866666666666667,0.27777777777777823
14/07,10.0,0.5,30.653266331658347,0.6666666666666661,2.0,0.33333333333333304
14/07,10.024896265560166,0.4990871369294606,30.323651452282153,0.024896265560165887,2.004979253112033,0.012425405898658726
14/07,10.049792531120332,0.4981742738589212,29.99731632294953,0.024896265560165887,2.0099585062240664,0.012402679017234509
